air force blue raf,#5d8aa8
air force blue usaf,#00308f
air superiority blue,#72a0c1
alabama crimson,#a32638
alice blue,#f0f8ff
aliceblue,#f0f8ff
alizarin crimson,#e32636
alloy orange,#c46210
almond,#efdecd
amaranth,#e52b50
amber,#ffbf00
amber sae ece,#ff7e00
american rose,#ff033e
amethyst,#96c
android green,#a4c639
anti flash white,#f2f3f4
antique brass,#cd9575
antique fuchsia,#915c83
antique ruby,#841b2d
antiquewhite1,#ffefdb
antiquewhite2,#eedfcc
antiquewhite3,#cdc0b0
antiquewhite4,#8b8378
antique white,#faebd7
antiquewhite,#faebd7
ao english,#008000
apple green,#8db600
apricot,#fbceb1
aqua,#0ff
aquamarine1,#7fffd4
aquamarine2,#76eec6
aquamarine4,#458b74
aquamarine,#7fffd4
army green,#4b5320
arsenic,#3b444b
arylide yellow,#e9d66b
ash grey,#b2beb5
asparagus,#87a96b
atomic tangerine,#f96
auburn,#a52a2a
aureolin,#fdee00
aurometalsaurus,#6e7f80
avocado,#568203
azure,#007fff
azure1,#f0ffff
azure2,#e0eeee
azure3,#c1cdcd
azure4,#838b8b
azure mist web,#f0ffff
baby blue,#89cff0
baby blue eyes,#a1caf1
baby pink,#f4c2c2
ball blue,#21abcd
banana mania,#fae7b5
banana yellow,#ffe135
barn red,#7c0a02
battleship grey,#848482
bazaar,#98777b
beau blue,#bcd4e6
beaver,#9f8170
beige,#f5f5dc
big dip o ruby,#9c2542
bisque1,#ffe4c4
bisque2,#eed5b7
bisque3,#cdb79e
bisque4,#8b7d6b
bisque,#ffe4c4
bistre,#3d2b1f
bittersweet,#fe6f5e
bittersweet shimmer,#bf4f51
black,#000
black,#000000
black bean,#3d0c02
black leather jacket,#253529
black olive,#3b3c36
blanched almond,#ffebcd
blanchedalmond,#ffebcd
blast off bronze,#a57164
bleu de france,#318ce7
blizzard blue,#ace5ee
blond,#faf0be
blue,#00f
blue1,#0000ff
blue2,#0000ee
blue4,#00008b
blue bell,#a2a2d0
blue crayola,#1f75fe
blue gray,#69c
blue green,#0d98ba
blue munsell,#0093af
blue ncs,#0087bd
blue pigment,#339
blue ryb,#0247fe
blue sapphire,#126180
blue violet,#8a2be2
blueviolet,#8a2be2
blush,#de5d83
bole,#79443b
bondi blue,#0095b6
bone,#e3dac9
boston university red,#c00
bottle green,#006a4e
boysenberry,#873260
brandeis blue,#0070ff
brass,#b5a642
brick red,#cb4154
bright cerulean,#1dacd6
bright green,#6f0
bright lavender,#bf94e4
bright maroon,#c32148
bright pink,#ff007f
bright turquoise,#08e8de
bright ube,#d19fe8
brilliant lavender,#f4bbff
brilliant rose,#ff55a3
brink pink,#fb607f
british racing green,#004225
bronze,#cd7f32
brown1,#ff4040
